HCl (%),H2SO4 (%),CuSO4 (%),pH Value,Temperature (°C),Etching Time (s),Capacitance (pF),Insulation Resistance (MΩ),Impedance Match (Ω),Dielectric Breakdown (kV),Board Thickness (mm),Board Width (mm),Board Length (mm),Hole Diameter Deviation (mm),Pad-to-Hole Alignment (mm),Silkscreen Clarity,Solderability Test,Dimension Accuracy,Frequency Test Result,Defect Type,PCB_Status
3.55,3.8,1.12,5.79,45.47,112,35.29,51.34,47.96,3.99,1.54,150,213,0.001,0.065,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.28,3.15,1.35,4.99,45.46,101,30.07,99.87,49.5,4.24,1.28,166,198,0.038,0.001,Clear,Pass,Accurate,Pass,None,OK
3.62,3.12,1.34,4.83,46.56,100,30.4,84.88,51.82,3.89,1.32,154,202,0.028,0.045,Clear,Pass,Accurate,Pass,None,OK
3.72,2.12,1.03,5.72,44.18,95,35.87,31.11,49.73,3.69,1.53,156,206,0.083,0.068,Clear,Fail,Accurate,Fail,Misalignment,Faulty
3.16,2.76,1.1,5.22,43.24,112,25.52,88.82,48.77,4.31,1.21,131,205,0.048,0.046,Clear,Pass,Accurate,Pass,None,OK
3.35,2.97,1.32,5.4,46.57,106,31.69,69.84,48.59,3.77,1.21,141,193,0.011,0.003,Clear,Pass,Accurate,Pass,None,OK
3.23,2.2,1.07,5.19,40.99,134,32.8,32.25,47.97,2.76,1.34,136,210,0.078,0.004,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.95,3.39,1.32,5.12,43.96,102,27.73,95.35,50.94,4.25,1.23,148,196,0.044,0,Clear,Pass,Accurate,Pass,None,OK
3.75,3.27,1.13,4.71,43.31,118,25.2,77.27,49.34,4.43,1.37,161,192,0.014,0.041,Clear,Pass,Accurate,Pass,None,OK
2.9,2.57,1.56,5.5,48.75,102,38.6,91.45,53.38,4.99,1.01,141,200,0.019,0.01,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.55,2.73,1.28,5.43,45.63,121,25.66,84.05,47.82,3.75,1.46,152,209,0.012,0.015,Clear,Pass,Accurate,Pass,None,OK
3.25,3.38,1.12,5.03,46.91,115,34.57,54.74,47.4,3.91,1.28,134,204,0.025,0.046,Clear,Pass,Accurate,Pass,None,OK
3.38,2.57,1.03,5.22,43.23,113,28.46,81.58,51.73,3.91,1.21,154,203,0.004,0.011,Clear,Pass,Accurate,Pass,None,OK
3.16,2.91,1.2,5.39,44.7,122,33.68,93.95,51.06,4.17,1.41,164,196,0.019,0.043,Clear,Pass,Accurate,Pass,None,OK
3.35,2.58,1.18,5.49,45.12,121,34.6,58.91,49.47,4.23,1.46,158,207,0.018,0.003,Clear,Pass,Accurate,Pass,None,OK
3.15,3.42,1.06,5.01,44.01,118,34.43,86.89,52.38,3.04,1.24,167,194,0.008,0.013,Clear,Pass,Accurate,Pass,None,OK
4.4,2.55,0.88,4.61,42.34,121,26.82,90.4,45.13,3.04,1.58,131,214,0.056,0.042,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.8,2.54,1.2,5.31,46.93,99,33.82,51.27,49.47,4.1,1.32,149,209,0.043,0.049,Clear,Pass,Accurate,Pass,None,OK
4.12,2.24,1.02,5.18,42.36,82,34.23,99.61,45.19,4.64,1.5,144,200,0.026,0.044,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.11,2.36,1.15,4.85,47.14,139,24.22,98.6,52.07,5,1.52,141,212,0.058,0.042,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.08,2.65,1.38,5.07,45.56,113,33.95,96.31,51.26,4.18,1.25,165,197,0.019,0.012,Clear,Pass,Accurate,Pass,None,OK
3.87,2.36,0.85,4.16,41.27,105,34.09,70.25,46.48,2.88,1.51,143,185,0.053,0.029,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.19,3.42,1.29,4.99,46.38,103,27.89,99.15,52.45,4.05,1.23,136,209,0.049,0.007,Clear,Pass,Accurate,Pass,None,OK
3.69,3.08,1.3,5.04,44.66,119,26.51,67.71,52.04,4.07,1.39,151,207,0.045,0.043,Clear,Pass,Accurate,Pass,None,OK
3.9,3.3,1.3,4.98,44.42,106,31.39,55.35,50.07,3.06,1.49,147,208,0.01,0.006,Clear,Pass,Accurate,Pass,None,OK
2.57,3.13,0.89,4.43,44.28,95,23.54,47.45,47.62,4.87,1.4,164,214,0.056,0.057,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.96,2.52,1.3,4.92,45.21,109,29.88,82.93,51.08,3.66,1.4,150,209,0.025,0.005,Clear,Pass,Accurate,Pass,None,OK
3.02,3.93,1.39,4.8,47,129,22.53,72.26,54.24,4.07,1.26,135,204,0.073,0.042,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.83,2.97,1.36,5.62,47.59,93,31.33,94.15,48.4,3.57,1.53,123,196,0.085,0.081,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.84,2.92,1.01,5.22,44.74,117,25.99,51.49,49.48,4.23,1.5,151,192,0.03,0.016,Clear,Pass,Accurate,Pass,None,OK
3.21,3.48,1.37,4.75,45.86,107,31.78,74.12,50.88,4.4,1.33,168,195,0.041,0.032,Clear,Pass,Accurate,Pass,None,OK
3.29,3.08,1.33,5.12,44.06,118,30.63,63.59,48.55,3.34,1.47,141,207,0.044,0.036,Clear,Pass,Accurate,Pass,None,OK
2.87,3.27,1.01,5.6,49.36,112,26.71,55.1,50.9,4.9,1.02,141,190,0.085,0.098,Clear,Pass,Accurate,Fail,Delamination,Faulty
4.44,3.9,0.96,5.87,45.14,129,32.16,38.29,52.43,3.65,1.3,137,189,0.02,0.036,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.87,3.35,1.11,5.21,44.8,107,33.63,73.67,49.61,3.87,1.26,140,204,0.031,0.044,Clear,Pass,Accurate,Pass,None,OK
3.89,3.46,1.22,5.39,46.58,115,31.09,50.91,48.26,4.21,1.24,141,203,0.002,0.027,Clear,Pass,Accurate,Pass,None,OK
4.29,3.77,1.03,5.77,43.94,92,22.5,58.62,50.1,4.73,1.59,152,217,0.018,0.073,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.64,3.19,1.25,4.83,46.02,115,30.74,52.58,47.23,4.13,1.41,155,197,0.024,0.02,Clear,Pass,Accurate,Pass,None,OK
4.34,2.42,1.57,5.13,44.93,86,20.25,77.65,53.01,4.47,1.43,161,212,0.059,0.063,Clear,Pass,Inaccurate,Fail,Solder Bridge,Faulty
3.31,2.83,1.05,5.36,43.67,99,29.41,50.8,50.53,3.93,1.31,159,200,0.044,0.018,Clear,Pass,Accurate,Pass,None,OK
2.89,2.82,0.86,5.36,44.9,100,20.9,87.07,46.15,4.89,1.35,167,215,0.026,0.026,Clear,Pass,Inaccurate,Fail,Misalignment,Faulty
3.22,2.81,1.1,5.45,46.55,96,29.63,80.96,52.19,3.03,1.3,144,200,0.036,0.042,Clear,Pass,Accurate,Pass,None,OK
3.15,3.8,1.56,5.99,48.32,104,37.44,73.61,53.42,3.7,1.25,144,185,0.018,0.04,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.85,2.57,1.01,5.15,45.36,113,34.54,78,47.15,4.09,1.4,137,201,0.044,0.036,Clear,Pass,Accurate,Pass,None,OK
3.04,2.47,0.87,4.57,43.33,101,28.73,33.05,52.24,3.73,1.42,143,207,0.012,0.028,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.21,2.93,1.35,5.27,45.72,102,26.38,61.66,48.18,4.16,1.3,147,205,0.034,0.045,Clear,Pass,Accurate,Pass,None,OK
3.21,2.55,1.3,4.1,45.73,112,36.68,66.93,54.64,4.18,1.48,179,211,0.066,0.036,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.66,3.42,1.01,4.91,44.18,108,29.46,82.33,49.76,4.08,1.37,139,196,0.002,0.048,Clear,Pass,Accurate,Pass,None,OK
3.97,2.98,1.13,5.45,44.77,123,31.56,94.21,51,4.15,1.29,137,192,0.048,0.015,Clear,Pass,Accurate,Pass,None,OK
3.71,3.41,1.03,5.17,46.23,100,29.33,63.87,48.03,3.65,1.44,167,191,0.046,0.026,Clear,Pass,Accurate,Pass,None,OK
4.1,2.19,1.57,4.44,43.34,99,26.96,90.86,46.27,3.92,1.16,163,210,0.067,0.016,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.26,3.32,1.31,4.81,44.32,119,27.83,91.6,47.34,4.49,1.29,164,192,0.006,0.032,Clear,Pass,Accurate,Pass,None,OK
3.28,3.48,1.37,4.9,43.66,101,27.87,83.13,50.11,4.16,1.36,149,197,0.006,0.008,Clear,Pass,Accurate,Pass,None,OK
4.04,3.17,1.37,5,49.49,116,30.56,40.82,48.2,4.14,1.01,173,191,0.081,0.073,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.09,3.45,1.23,5.12,44.51,108,27.34,51.69,51.91,3.87,1.21,141,209,0.027,0.003,Clear,Pass,Accurate,Pass,None,OK
3.69,3.21,1.06,4.73,43.28,100,28.44,68.76,47.21,4.4,1.44,132,197,0.038,0.043,Clear,Pass,Accurate,Pass,None,OK
3.52,3.37,1.22,5.25,45.87,110,33.72,75.39,49.1,4.36,1.39,149,193,0.019,0.027,Clear,Pass,Accurate,Pass,None,OK
3.91,2.43,1.28,5.52,43.07,112,20.21,76.59,46.92,4.45,1.31,158,196,0.003,0.003,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.21,3.25,1.31,4.72,43.59,121,30.05,86.58,50.98,4.22,1.26,141,202,0.007,0.029,Clear,Pass,Accurate,Pass,None,OK
3.23,3.2,1.29,5.09,44.14,124,27.4,64.36,47.78,3.85,1.26,153,206,0.026,0.028,Clear,Pass,Accurate,Pass,None,OK
2.65,3.28,0.88,4.42,45.44,125,33.02,75.07,45.87,3.51,1.15,155,215,0.082,0.006,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.22,3.21,0.92,5.95,45.52,99,39.36,53.46,50.58,4.33,1.45,164,198,0.027,0.085,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
2.73,3.09,1.56,5.29,43.57,121,37.26,32.42,47.54,3.83,1.47,123,181,0.051,0.057,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.01,3.22,1.3,5.2,46.52,98,28.85,99.14,48.42,3.79,1.28,145,207,0.017,0.038,Clear,Pass,Accurate,Pass,None,OK
3.98,3.22,1.11,5.36,45.16,101,26.06,84.23,50.21,3.49,1.37,139,194,0.018,0.007,Clear,Pass,Accurate,Pass,None,OK
3.16,3.19,0.96,5.56,43.77,108,29.52,44.38,50.78,2.66,1.56,120,189,0.027,0.009,Clear,Pass,Accurate,Fail,Delamination,Faulty
2.63,2.99,1.27,5.53,42.58,85,33.78,79.86,45.65,3.9,1.01,140,214,0.08,0.064,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.83,2.88,1.03,5.23,44.29,110,34.04,68.64,52.72,3.38,1.36,148,201,0.032,0.031,Clear,Pass,Accurate,Pass,None,OK
3.15,2.27,1.34,5.93,44.58,139,30.76,42.04,46.35,4.91,1.49,158,212,0.09,0.087,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.96,3.39,1.13,4.79,47.6,104,29.38,48.32,47.73,3.82,1.2,156,180,0.095,0.036,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.39,2.92,1.06,5.3,45.19,98,29.08,54.85,48.72,3.77,1.28,143,191,0.044,0.023,Clear,Pass,Accurate,Pass,None,OK
4.27,2.86,1.27,5.34,47.09,83,25.55,59.29,53.83,4.77,1.47,166,183,0.038,0.006,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.95,2.79,1.38,5.41,43.87,101,34.8,59.07,49.93,3.87,1.41,143,199,0.028,0.045,Clear,Pass,Accurate,Pass,None,OK
2.74,3.38,1.16,5.15,44.19,99,23.21,81.41,53.68,3.26,1.3,146,204,0.046,0.068,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.93,3.98,1.57,4.41,47.76,82,26.81,70.22,48.83,3.25,1.11,136,207,0.003,0.074,Clear,Fail,Accurate,Fail,Misalignment,Faulty
3.68,2.65,1.25,5.1,43.1,115,28.48,74.38,49.4,3.37,1.47,151,196,0.034,0.026,Clear,Pass,Accurate,Pass,None,OK
3.75,2.96,1.29,5.35,45.41,96,33.36,74.73,52.38,4.38,1.21,133,204,0.033,0.047,Clear,Pass,Accurate,Pass,None,OK
4.04,3.45,0.95,4.85,42.05,97,21.33,97.51,45.19,4.49,1.12,132,196,0.02,0.082,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.49,3.16,1.34,5.29,47.42,105,36.59,45.21,52.25,4.91,1.2,166,191,0.056,0.038,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.68,3.4,1.36,4.73,45.86,117,27.56,88.39,47.43,3.84,1.33,163,196,0.028,0.018,Clear,Pass,Accurate,Pass,None,OK
3.76,3.15,1.34,5.31,46.52,102,25.76,86.31,50.4,3.79,1.38,147,204,0.016,0.048,Clear,Pass,Accurate,Pass,None,OK
3.17,2.56,1.09,4.72,46.09,104,25.32,60.06,52.08,3.65,1.38,163,205,0.019,0.044,Clear,Pass,Accurate,Pass,None,OK
3.56,3.31,1.02,5.43,46.71,121,31.06,79.75,52.93,3.09,1.21,147,190,0.016,0.029,Clear,Pass,Accurate,Pass,None,OK
2.56,2.38,0.87,4.4,43.53,110,29.41,68.68,54.81,2.86,1.44,172,210,0.057,0.035,Blurred,Pass,Inaccurate,Fail,Open Circuit,Faulty
3.85,3.44,1.37,4.83,46.94,96,28.12,51.03,51.19,4.32,1.26,169,204,0.046,0.018,Clear,Pass,Accurate,Pass,None,OK
3.02,3.33,1.39,4.67,45.98,100,29.44,69.93,49.28,3.48,1.22,160,192,0.041,0.019,Clear,Pass,Accurate,Pass,None,OK
3.52,2.71,1.15,4.74,49.06,136,39.39,99.34,48.12,3.53,1.34,143,219,0.001,0.041,Blurred,Pass,Accurate,Fail,Short Circuit,Faulty
4.32,2.14,1.01,5.5,41.27,112,34.93,86.12,54.91,4.29,1.01,180,206,0.005,0.016,Blurred,Pass,Accurate,Fail,Short Circuit,Faulty
3.12,3.23,1.23,4.65,46.47,98,33.19,88.21,49.47,3.96,1.37,149,199,0.029,0.039,Clear,Pass,Accurate,Pass,None,OK
3.25,2.65,1.36,4.69,45.69,115,27.48,69.98,49.11,3.91,1.39,165,205,0.046,0.029,Clear,Pass,Accurate,Pass,None,OK
3.29,2.85,1.09,4.95,43.68,95,28.09,91.78,50.62,3.88,1.25,139,191,0.044,0.02,Clear,Pass,Accurate,Pass,None,OK
3.18,3.07,1.04,5.02,43.73,100,33.45,98.81,51.44,3.79,1.3,132,206,0.046,0.032,Clear,Pass,Accurate,Pass,None,OK
3.62,2.58,1.2,5.41,43.44,122,29.93,80.36,51.92,3.27,1.3,150,190,0.011,0.037,Clear,Pass,Accurate,Pass,None,OK
3.08,3.76,1.31,4.68,49.76,111,36.14,90.36,49.49,3.34,1.15,129,183,0.047,0.084,Clear,Pass,Accurate,Fail,Misalignment,Faulty
2.82,3.3,0.99,4.12,43.76,103,27.34,81.99,53.83,3.35,1.39,120,220,0.081,0.018,Clear,Fail,Accurate,Fail,Open Circuit,Faulty
3.29,2.61,1.32,4.88,46.77,106,33.28,57.25,49.5,3.42,1.45,165,193,0.036,0.001,Clear,Pass,Accurate,Pass,None,OK
3.16,3.43,1.26,4.72,45.69,121,28.74,68.98,51.3,3.79,1.26,139,200,0.03,0.004,Clear,Pass,Accurate,Pass,None,OK
3.77,2.67,0.96,4.5,42.7,116,36.93,58.79,53.35,2.88,1.36,177,182,0.054,0.029,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
4.24,3.34,1.5,4.63,47.02,111,27.13,95.1,45.53,4.77,1.12,132,197,0.016,0.092,Blurred,Pass,Accurate,Fail,Solder Bridge,Faulty
3.91,3.2,1.25,5.24,46.16,108,28.98,50.47,52.5,4.18,1.36,136,206,0.037,0.005,Clear,Pass,Accurate,Pass,None,OK
2.87,3.32,0.81,5.75,49.89,112,37.02,97.44,51.3,4.75,1.26,152,211,0.009,0.017,Blurred,Pass,Accurate,Fail,Solder Bridge,Faulty
3.7,2.78,1.01,4.63,44.32,109,26.67,80.14,52.52,3.65,1.43,151,191,0.013,0.012,Clear,Pass,Accurate,Pass,None,OK
3.58,3.46,0.97,5.72,46.72,134,21.33,74.14,53.9,3.96,1.05,121,181,0.064,0.029,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.25,2.83,1.13,5.39,44.84,118,34.16,91.08,51.22,3.31,1.45,152,190,0.035,0.021,Clear,Pass,Accurate,Pass,None,OK
3.36,2.88,1.38,4.91,43.16,112,33.97,81.5,50.82,3.13,1.4,141,195,0.02,0.04,Clear,Pass,Accurate,Pass,None,OK
3.74,2.58,1.05,5.11,46.56,111,34.84,89.3,50.19,3.99,1.29,168,200,0.042,0.018,Clear,Pass,Accurate,Pass,None,OK
3.79,3.24,1.29,4.69,46.41,103,29.02,90,48.1,3.64,1.45,142,193,0.04,0.001,Clear,Pass,Accurate,Pass,None,OK
3.18,2.68,1.3,4.65,46.14,109,33.19,92.55,47.74,3.19,1.42,169,200,0.011,0.024,Clear,Pass,Accurate,Pass,None,OK
3.94,3.31,1.29,5.3,43.23,112,29.15,63.33,49.91,4.01,1.41,142,194,0.009,0.05,Clear,Pass,Accurate,Pass,None,OK
3.79,3.35,1.4,4.93,43.7,118,29.54,93.56,47.96,3.31,1.22,162,199,0.036,0.017,Clear,Pass,Accurate,Pass,None,OK
4.22,3.07,0.86,5,43,117,37.75,48.48,51.83,4.6,1.33,177,193,0.041,0.081,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
2.51,2.19,1.56,5.29,41.51,139,26.36,96.35,50.81,3.45,1.05,156,196,0.067,0.022,Clear,Fail,Accurate,Fail,Delamination,Faulty
3.52,2.9,1.47,5.02,42.85,101,23.32,55.71,50.95,3.84,1.5,128,194,0.04,0.015,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.33,3.51,1.44,4.24,43.76,113,34.92,93.54,47.91,4.86,1.38,143,191,0.048,0.014,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.86,3.14,1.16,5.49,44.34,115,33.3,82.7,50.46,3.76,1.21,160,194,0.028,0.048,Clear,Pass,Accurate,Pass,None,OK
2.74,3.33,1.55,5.6,45.4,131,29.46,68.03,52.63,4.12,1.08,163,211,0.001,0.025,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.14,3.27,1.27,5.02,44.05,112,26.77,64.49,50.87,3.46,1.41,157,192,0.028,0.005,Clear,Pass,Accurate,Pass,None,OK
4.39,3.85,0.96,4.27,40.18,135,38.16,66.54,49.46,4.8,1.3,138,217,0.019,0.038,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.15,2.47,1.29,5.9,41.02,93,28.38,74.59,51.95,3.13,1.38,160,213,0.046,0.021,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.14,2.67,1.08,5.35,46.35,99,27.2,99.36,50.15,4.4,1.48,148,195,0.038,0.009,Clear,Pass,Accurate,Pass,None,OK
3.31,3.08,1.16,5.48,43.78,110,28.15,97.51,47.22,3.34,1.43,150,202,0.043,0.036,Clear,Pass,Accurate,Pass,None,OK
3.23,3.98,1.22,5.5,46.37,95,33.96,75.31,50.89,2.54,1.21,161,213,0.078,0.08,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.06,3.18,1.2,4.78,45.13,103,32.88,78.72,47.35,3.63,1.45,161,205,0.012,0.025,Clear,Pass,Accurate,Pass,None,OK
4.42,3.08,1.1,5.89,44.66,106,37.43,84.35,48.7,3.32,1.11,133,186,0.079,0.083,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3,3.68,1.54,4.63,43.62,107,20.61,51.8,49.49,3.92,1.3,159,212,0.092,0,Clear,Fail,Accurate,Fail,Open Circuit,Faulty
3.09,3.16,1.09,5.3,45.29,116,28.73,92.16,47.68,4.44,1.36,155,196,0.028,0.038,Clear,Pass,Accurate,Pass,None,OK
3.14,2.62,1.36,4.52,44.7,97,28.58,63.07,47.92,3.48,1.29,142,207,0.041,0.043,Clear,Pass,Accurate,Pass,None,OK
3.71,2.84,1.29,5.18,43.96,106,34.99,70.8,52.94,3.97,1.4,158,192,0.044,0.013,Clear,Pass,Accurate,Pass,None,OK
2.57,3.51,1.09,5.48,41.68,138,29.94,96.69,54.63,2.69,1.38,123,183,0.092,0.07,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.03,2.83,1.11,5.25,46.84,118,28.84,59.2,49.07,3.48,1.41,136,195,0.014,0.034,Clear,Pass,Accurate,Pass,None,OK
3.08,3.07,1.05,4.98,44.65,108,27.48,76.01,48.75,3.17,1.4,155,199,0.005,0.03,Clear,Pass,Accurate,Pass,None,OK
3.94,3.27,1.12,4.66,45.91,95,31.23,74.8,47.31,3.94,1.48,135,205,0.012,0.043,Clear,Pass,Accurate,Pass,None,OK
3.06,3.42,1.16,4.34,49.46,98,34.55,35.8,48.32,2.67,1.21,169,194,0.062,0.09,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.08,3.07,1.25,5.12,43.74,103,33.02,60.64,50.81,4.37,1.31,161,202,0.047,0.022,Clear,Pass,Accurate,Pass,None,OK
3.54,3.25,1.33,5.4,46.29,103,25.7,83.64,50.91,3.68,1.21,165,198,0.023,0.003,Clear,Pass,Accurate,Pass,None,OK
3.64,2.6,1.2,5.43,43.86,114,31.19,55.89,48.05,3.94,1.47,152,205,0.021,0.029,Clear,Pass,Accurate,Pass,None,OK
3.96,3.38,1.04,5.25,45.7,107,25.36,53.08,52.52,3.91,1.25,140,200,0.001,0.048,Clear,Pass,Accurate,Pass,None,OK
3.9,3.04,1.1,4.76,45.03,102,30.26,69.25,51.8,3.62,1.41,150,198,0.003,0.001,Clear,Pass,Accurate,Pass,None,OK
3.44,2.54,1.14,5.37,43.59,105,27.57,70.49,48.38,3.92,1.46,148,199,0.033,0.012,Clear,Pass,Accurate,Pass,None,OK
3.84,3.11,1.55,5.67,47.43,96,31.75,36.4,50.54,2.79,1.16,133,206,0.063,0.065,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
4.02,2.61,0.85,5.1,47.23,123,25.23,59.92,52.05,4.58,1.59,125,201,0.089,0.04,Clear,Pass,Inaccurate,Fail,Delamination,Faulty
3.94,3.14,1.25,5.39,43.1,124,28.07,65.99,49.92,3.39,1.29,163,200,0.029,0.016,Clear,Pass,Accurate,Pass,None,OK
3.96,2.89,1.03,5.44,48.36,124,26.19,93.96,52.58,3.94,1.6,131,181,0.061,0.023,Blurred,Pass,Accurate,Fail,Solder Bridge,Faulty
3.24,3.2,1.16,5.02,41.55,87,24.84,62.93,48.93,2.98,1.1,146,210,0.072,0.065,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.76,3.03,0.82,5.21,43.01,95,25.57,69.84,53.26,4.01,1.09,173,201,0.088,0.024,Clear,Fail,Accurate,Fail,Solder Bridge,Faulty
3.43,3.02,1.1,4.87,46.72,108,29.67,62.9,49.75,3.57,1.45,164,204,0.029,0.038,Clear,Pass,Accurate,Pass,None,OK
3.57,2.99,1.2,5.66,43.72,140,32.72,67.12,47.78,2.81,1.38,131,193,0.034,0.048,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.67,2.72,1.09,4.68,43.5,110,34.27,66.94,49.09,3.66,1.3,160,202,0.006,0.016,Clear,Pass,Accurate,Pass,None,OK
4.17,3.7,1.19,5.42,44.89,112,38.36,85.8,49.31,3.61,1.52,129,215,0.091,0.088,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.26,3.26,1.11,5.37,45.82,105,32.11,58.17,51.91,4.3,1.44,158,206,0.018,0.012,Clear,Pass,Accurate,Pass,None,OK
3.64,3.43,1.24,5.39,45.61,113,34.37,70.17,47.66,3.52,1.22,135,193,0.041,0.032,Clear,Pass,Accurate,Pass,None,OK
3.54,2.82,1.2,4.6,44.37,123,31.6,95.23,49.49,3.95,1.4,165,200,0.009,0.002,Clear,Pass,Accurate,Pass,None,OK
3.68,3.63,1.13,5.39,41.42,120,36.87,86.11,49.7,3.93,1.38,127,184,0.093,0.017,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.61,2.99,1.34,5.47,43.74,116,25.07,61.22,49.57,3.32,1.4,160,190,0.044,0.009,Clear,Pass,Accurate,Pass,None,OK
2.53,3.76,1.01,5.76,46.26,84,34.86,98.44,46.43,3.64,1.6,164,198,0.024,0.009,Clear,Fail,Inaccurate,Fail,Delamination,Faulty
3.68,2.63,1.28,5.03,43.71,104,27.66,84.22,49.81,3.38,1.35,161,190,0.006,0.02,Clear,Pass,Accurate,Pass,None,OK
